entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,"","Instructions"
"2564694782","63855-248457501","$10K Mon NFL Pooch Punt (150 Entries Max)","63855-63115","63855-86687","63855-90537","63855-45859","63855-30989","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","",""
"","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","",63855-63115:Lamar Jackson,63855-63115,QB,Lamar,Lamar Jackson,Jackson,22.142353731043197,17,17000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-45859:Derek Carr,63855-45859,QB,Derek,Derek Carr,Carr,17.56999969482422,16,14000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-25011:Darren Waller,63855-25011,TE,Darren,Darren Waller,Waller,14.068750381469727,16,13000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-72731:Josh Jacobs,63855-72731,RB,Josh,Josh Jacobs,Jacobs,14.32000020345052,15,12500,BAL@LV,LV,BAL,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-60977:Ty'Son Williams,63855-60977,RB,Ty'Son,Ty'Son Williams,Williams,0,1,12000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-52436:Mark Andrews,63855-52436,TE,Mark,Mark Andrews,Andrews,9.5,16,11000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-86687:Marquise Brown,63855-86687,WR,Marquise,Marquise Brown,Brown,10.055555555555555,18,10000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-90537:Henry Ruggs III,63855-90537,WR,Henry,Henry Ruggs III,Ruggs III,5.469230651855469,13,9500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-23045:Justin Tucker,63855-23045,K,Justin,Justin Tucker,Tucker,8.777777777777779,18,9000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-28181:Le'Veon Bell,63855-28181,RB,Le'Veon,Le'Veon Bell,Bell,5.169230534480168,13,9000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-30989:Kenyan Drake,63855-30989,RB,Kenyan,Kenyan Drake,Drake,11.97999979654948,15,8500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-40856:Daniel Carlson,63855-40856,K,Daniel,Daniel Carlson,Carlson,9.6875,16,8500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-34331:Latavius Murray,63855-34331,RB,Latavius,Latavius Murray,Murray,8.356249809265137,16,8000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-24641:Sammy Watkins,63855-24641,WR,Sammy,Sammy Watkins,Watkins,6.51818154074929,11,8000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-40167:Gus Edwards,63855-40167,RB,Gus,Gus Edwards,Edwards,7.316666497124566,18,8000,BAL@LV,BAL,LV,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-57986:Hunter Renfrow,63855-57986,WR,Hunter,Hunter Renfrow,Renfrow,6.474999904632568,16,7500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-69276:Bryan Edwards,63855-69276,WR,Bryan,Bryan Edwards,Edwards,3.422222137451172,9,7000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-71032:Devin Duvernay,63855-71032,WR,Devin,Devin Duvernay,Duvernay,2.6937499046325684,16,7000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-83091:Trenton Cannon,63855-83091,RB,Trenton,Trenton Cannon,Cannon,0.6400000095367432,10,6500,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-44449:Willie Snead IV,63855-44449,WR,Willie,Willie Snead IV,Snead IV,5.6399998982747395,15,6500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-41305:Zay Jones,63855-41305,WR,Zay,Zay Jones,Jones,2.6872726787220347,11,6000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-40857:Peyton Barber,63855-40857,RB,Peyton,Peyton Barber,Barber,3.7857142857142856,14,5500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-60712:Foster Moreau,63855-60712,TE,Foster,Foster Moreau,Moreau,4.214285714285714,7,5500,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-63186:James Proche,63855-63186,WR,James,James Proche,Proche,0.15833333134651184,12,5500,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-56064:Bo Scarbrough,63855-56064,RB,Bo,Bo Scarbrough,Scarbrough,1.5499999523162842,2,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-62981:Eli Wolf,63855-62981,TE,Eli,Eli Wolf,Wolf,0,1,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-65798:Siaosi Mariner,63855-65798,WR,Siaosi,Siaosi Mariner,Mariner,,,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-22920:Derek Carrier,63855-22920,TE,Derek,Derek Carrier,Carrier,0.949999988079071,2,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-64408:Nick Bowers,63855-64408,TE,Nick,Nick Bowers,Bowers,,,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-68890:Devin Gray,63855-68890,WR,Devin,Devin Gray,Gray,0,1,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-130337:Case Cookus,63855-130337,QB,Case,Case Cookus,Cookus,0,1,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-70051:Tyler Huntley,63855-70051,QB,Tyler,Tyler Huntley,Huntley,2.125,4,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-63907:Josh Oliver,63855-63907,TE,Josh,Josh Oliver,Oliver,0,2,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-52902:Trey Quinn,63855-52902,WR,Trey,Trey Quinn,Quinn,0,3,5000,BAL@LV,LV,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-130345:Michael Dereus,63855-130345,WR,Michael,Michael Dereus,Dereus,0,1,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-30761:Nathan Peterman,63855-30761,QB,Nathan,Nathan Peterman,Peterman,1.899999976158142,1,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-33578:Jalen Richard,63855-33578,RB,Jalen,Jalen Richard,Richard,3.1999998826246996,13,5000,BAL@LV,LV,BAL,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-80299:Patrick Ricard,63855-80299,RB,Patrick,Patrick Ricard,Ricard,1.8600000381469726,10,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-29358:Marcus Mariota,63855-29358,QB,Marcus,Marcus Mariota,Mariota,26.84000015258789,1,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-62510:Nick Boyle,63855-62510,TE,Nick,Nick Boyle,Boyle,3.3666665818956165,9,5000,BAL@LV,BAL,LV,IR,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-130350:Jaylon Moore,63855-130350,WR,Jaylon,Jaylon Moore,Moore,0,1,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-64827:Miles Boykin,63855-64827,WR,Miles,Miles Boykin,Boykin,4.23999989827474,15,5000,BAL@LV,BAL,LV,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-32957:Eric Tomlinson,63855-32957,TE,Eric,Eric Tomlinson,Tomlinson,0,2,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-63565:Jake Breeland,63855-63565,TE,Jake,Jake Breeland,Breeland,0,1,5000,BAL@LV,BAL,LV,Q,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-54606:John Brown,63855-54606,WR,John,John Brown,Brown,7.825000127156575,12,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-41042:Marcell Ateman,63855-41042,WR,Marcell,Marcell Ateman,Ateman,,,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-62042:Deon Cain,63855-62042,WR,Deon,Deon Cain,Cain,0,1,5000,BAL@LV,BAL,LV,Q,Head,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-87515:Tylan Wallace,63855-87515,WR,Tylan,Tylan Wallace,Wallace,,,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-73180:Binjimen Victor,63855-73180,WR,Binjimen,Binjimen Victor,Victor,0,1,5000,BAL@LV,BAL,LV,Q,Head,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-56286:Trace McSorley,63855-56286,QB,Trace,Trace McSorley,McSorley,3.1000000635782876,3,5000,BAL@LV,BAL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-71521:Justice Hill,63855-71521,RB,Justice,Justice Hill,Hill,1.3125,8,5000,BAL@LV,BAL,LV,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-63717:Alec Ingold,63855-63717,RB,Alec,Alec Ingold,Ingold,2.127272692593661,11,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-87787:J.K. Dobbins,63855-87787,RB,J.K.,J.K. Dobbins,Dobbins,10.617647058823529,17,5000,BAL@LV,BAL,LV,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",63855-79987:David Moore,63855-79987,WR,David,David Moore,Moore,6.017647238338695,17,5000,BAL@LV,LV,BAL,,,,,,MVP - 1.5X Points/AnyFLEX