,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New Orleans Saints,1,3,229,52,4.4,3,1,14,20,35,186,0,2,5.0,9,15,43,0,2.9,2,5,33,3,11.1,33.3,14.83
2,Philadelphia Eagles,1,6,260,64,4.1,,0,19,21,35,136,0,0,3.6,8,26,124,0,4.8,7,12,99,4,18.2,0.0,12.48
3,Arizona Cardinals,1,13,248,64,3.9,3,2,17,22,36,162,1,1,3.9,12,22,86,1,3.9,5,7,57,,16.7,25.0,14.20
4,Denver Broncos,1,13,314,59,5.3,1,1,19,22,37,254,1,0,6.5,13,20,60,1,3.0,3,4,48,3,22.2,11.1,-3.89
5,Carolina Panthers,1,14,252,60,4.2,1,0,16,20,37,207,2,1,4.8,10,17,45,0,2.6,4,5,30,2,16.7,8.3,10.00
6,Los Angeles Rams,1,14,322,69,4.7,2,1,24,29,40,188,0,1,4.4,13,26,134,2,5.2,10,3,35,1,25.0,25.0,0.85
7,Seattle Seahawks,1,16,336,71,4.7,1,1,23,25,38,223,2,0,5.4,14,30,113,0,3.8,8,2,16,1,27.3,9.1,-3.07
8,Miami Dolphins,1,16,393,70,5.6,2,2,24,29,39,268,1,0,6.7,14,30,125,0,4.2,8,8,84,2,50.0,25.0,-5.75
9,Los Angeles Chargers,1,16,259,49,5.3,1,1,15,14,21,133,1,0,6.0,6,27,126,0,4.7,6,8,57,3,44.4,11.1,-1.45
10,Pittsburgh Steelers,1,16,371,79,4.7,1,1,22,30,51,254,1,0,4.7,13,25,117,0,4.7,8,8,81,1,36.4,9.1,3.55
11,New England Patriots,1,17,259,52,5.0,1,0,16,16,27,185,1,1,6.4,9,23,74,1,3.2,7,5,28,,33.3,11.1,0.74
12,New York Jets,1,19,381,63,6.0,1,1,18,24,35,270,1,0,7.5,14,27,111,1,4.1,4,6,38,,33.3,8.3,-1.31
13,Houston Texans,1,21,395,68,5.8,3,0,20,28,51,319,3,3,6.1,13,16,76,0,4.8,5,10,82,2,21.4,21.4,1.54
14,Buffalo Bills,1,23,252,55,4.6,,0,16,18,32,177,1,0,5.2,9,21,75,0,3.6,4,5,32,3,36.4,0.0,0.54
15,Cincinnati Bengals,1,24,403,75,5.4,1,1,24,37,50,336,2,0,6.3,16,22,67,1,3.0,5,12,116,3,30.8,7.7,-2.90
16,Las Vegas Raiders,1,27,406,67,6.1,2,2,20,19,30,217,1,0,6.6,11,34,189,2,5.6,8,5,71,1,38.5,15.4,-3.00
17,Minnesota Vikings,1,27,366,68,5.4,,0,20,20,27,217,2,0,6.8,12,36,149,1,4.1,7,3,15,1,38.5,0.0,-6.16
18,Indianapolis Colts,1,28,381,53,7.2,1,1,18,18,23,241,4,0,9.3,12,27,140,0,5.2,6,7,53,,40.0,10.0,-14.35
19,Kansas City Chiefs,1,29,457,56,8.2,2,1,24,21,28,304,0,1,10.1,14,26,153,4,5.9,9,5,30,1,44.4,22.2,-20.54
20,Tampa Bay Buccaneers,1,29,451,77,5.9,1,0,30,42,58,391,3,1,6.6,21,18,60,0,3.3,4,8,55,5,46.2,7.7,-13.67
21,Dallas Cowboys,1,31,431,64,6.7,4,2,24,32,50,379,4,2,7.6,22,14,52,0,3.7,1,11,106,1,38.5,30.8,-9.37
22,Atlanta Falcons,1,32,434,67,6.5,,0,24,27,35,261,3,0,7.3,13,31,173,1,5.6,10,14,89,1,45.5,0.0,-13.14
23,Baltimore Ravens,1,33,491,80,6.1,1,0,26,34,56,409,2,1,6.9,17,21,82,2,3.9,6,10,62,3,42.9,7.1,-11.58
24,Cleveland Browns,1,33,397,61,6.5,,0,21,27,36,324,3,0,8.5,17,23,73,1,3.2,4,5,36,,66.7,0.0,-19.34
25,San Francisco 49ers,1,33,430,84,5.1,1,0,31,38,57,314,3,1,5.2,19,24,116,1,4.8,8,5,45,4,38.5,7.7,-5.16
26,Chicago Bears,1,34,386,50,7.7,,0,18,20,26,312,3,0,11.6,13,23,74,1,3.2,4,4,36,1,66.7,0.0,-21.58
27,Jacksonville Jaguars,1,37,449,75,6.0,,0,22,21,33,289,2,0,8.5,13,41,160,2,3.9,6,5,50,3,50.0,0.0,-14.76
28,Tennessee Titans,1,38,416,67,6.2,1,0,22,21,32,280,4,1,8.2,13,33,136,1,4.1,7,8,59,2,50.0,8.3,-8.83
29,Green Bay Packers,1,38,322,60,5.4,,0,22,15,21,151,5,0,7.2,10,39,171,0,4.4,11,6,36,1,66.7,0.0,-20.22
30,Detroit Lions,1,41,442,55,8.0,2,2,21,18,26,311,2,0,11.5,13,28,131,2,4.7,6,7,79,2,50.0,16.7,-15.48
31,Washington Football Team,2,49,815,142,5.7,2,1,48,53,79,562,2,1,6.6,30,57,253,2,4.4,13,17,175,5,55.0,10.0,-19.90
32,New York Giants,2,57,827,135,6.1,2,1,49,62,82,575,4,1,6.8,30,50,252,2,5.0,12,14,131,7,57.9,10.5,-32.50
33,Avg Team,,25.8,393.0,69.1,5.7,1.3,0.7,22.7,26.3,39.5,276.1,2.0,0.6,6.6,14.2,27.3,116.9,0.9,4.3,6.5,7.3,61.4,2.1,39.8,10.8,-6.5
34,League Total,,827,12575,2211,5.7,40,22,727,843,1263,8835,64,18,6.6,453,872,3740,29,4.3,208,234,1964,66,39.8,10.8,
35,Avg Tm/G,,24.3,369.9,65.0,5.7,1.2,0.6,21.4,24.8,37.1,259.9,1.9,0.5,6.6,13.3,25.6,110.0,0.9,4.3,6.1,6.9,57.8,1.9,39.8,10.8,
